symbol,name,level3
CRU-USD,Crust Network,Storage
CTCN-USD,CONTRACOIN,Payments
CTSI-USD,Cartesi,Layer 2 Scaling
CTXC-USD,Cortex,AI Infrastructure
CVT-USD,CyberVein,Data Management & Analytics
DAG-USD,Constellation,Data Management
DAPP-USD,LiquidApps,Infrastructure
DASH-USD,Dash,Payments
DATA-USD,Streamr,Data Marketplace & Streaming
DCR-USD,Decred,Governance
DEM-USD,Deutsche eMark,Payments
DENT-USD,Dent,Telecom
DERO-USD,Dero,Payments
DGB-USD,DigiByte,Payments
DIME-USD,Dimecoin,Payments
DIVI-USD,Divi,Payments
DMD-USD,Diamond,Payments
DNT-USD,district0x,Governance
DOT-USD,Polkadot,Blockchain Infrastructure
DRC-USD,Doric Network,Infrastructure
DTX-USD,Databroker,Data Marketplace
DUSK-USD,Dusk,Privacy
EGLD-USD,MultiversX,Infrastructure
ELA-USD,Elastos,Operating System
ELET-USD,Elementeum,Payments
ELF-USD,aelf,Infrastructure
EOS-USD,EOS,Infrastructure
EPIC-USD,Epic Cash,Payments
EQUAD-USD,QuadrantProtocol,Data Marketplace
ERG-USD,Ergo,Infrastructure
ETC-USD,Ethereum Classic,Infrastructure
ETHO-USD,Etho Protocol,Infrastructure
ETH-USD,Ethereum,Infrastructure
ETN-USD,Electroneum,Payments
EVER-USD,Everscale,Infrastructure
EVY-USD,EveryCoin ,Payments
EVZ-USD,Electric Vehicle Zone,Supply Chain & Logistics
EWT-USD,Energy Web Token,Energy Sector
EXRD-USD,e-Radix,Infrastructure
FIDA-USD,Solana Name Service,Domain Name Services
FIL-USD,Filecoin,Data Storage
FIO-USD,FIO Protocol,Wallet Services
FIRO-USD,Firo,Privacy Coins
FLUX-USD,Flux,Distributed Computing
FRC-USD,Freicoin,Payments
FRM-USD,Ferrum Network,Cross-Chain Solutions
FRN-USD,Francs,Payments
FTC-USD,Feathercoin,Payments
FUND-USD,Unification,Blockchain Infrastructure
FYD-USD,FYDcoin,Payments
GARD-USD,Hashgard,Infrastructure
GAS-USD,Gas,Infrastructure
GBYTE-USD,Obyte,Payments
GEEQ-USD,Geeq,Infrastructure
GHOST-USD,Ghost,Payments
GLC-USD,Goldcoin,Payments
GLEEC-USD,Gleec Coin,Payments
GLM-USD,Golem,Cloud Computing
GNO-USD,Gnosis,Prediction Markets
GNX-USD,Genaro Network,Data Storage
GO-USD,GoChain,Infrastructure
GRIN-USD,Grin,Payments
GRS-USD,Groestlcoin,Payments
GRT6719-USD,The Graph,Data Indexing
HBAR-USD,Hedera,Infrastructure
HBX-USD,HashBX,Cloud Mining
HIVE-USD,Hive,Social Media
HNS-USD,Handshake,Infrastructure
HNT-USD,Helium,Decentralized Wireless Network
HOT2682-USD,Holo,Distributed Computing
HTR-USD,Hathor,Payments
HUSH-USD,Hush,Privacy Coins
IBS-USD,IBStoken,Payments
ICX-USD,ICON,Blockchain Interoperability
IDNA-USD,Idena,Identity
IGNIS-USD,Ignis,Infrastructure
ILC-USD,ILCOIN,Payments
IMS-USD,Independent Money System,Payments
INN-USD,Innova,Payments
INXT-USD,Internxt,Decentralized Storage
IOST-USD,IOST,Infrastructure
IOTX-USD,IoTeX,Internet of Things (IoT)
IRIS-USD,IRISnet,Cross-Chain Communication
ISIKC-USD,Isiklar Coin,Payments
IXC-USD,Ixcoin,Payments
KAI-USD,KardiaChain,Cross-Chain Bridges
KDAG-USD,King DAG,Payments
KDA-USD,Kadena,Infrastructure
KEX-USD,KIRA,Cross-chain Infrastructure
KSM-USD,Kusama,Infrastructure
KTON-USD,Darwinia Commitment Token,Cross-Chain Infrastructure
LAMB-USD,Lambda,Decentralized Storage
LCC-USD,Litecoin Cash,Payments
LGCY-USD,LGCY Network,Infrastructure
LINKA-USD,LINKA,Infrastructure
LINK-USD,Chainlink,Oracle Services
LOCUS-USD,Locus Chain,Infrastructure
LOOM-USD,Loom Network,Layer 2 Scaling
LPT-USD,Livepeer,Decentralized Video Infrastructure
LSK-USD,Lisk,Infrastructure
LTC-USD,Litecoin,Payments
LTO-USD,LTO Network,Blockchain-as-a-Service
LTX-USD,Lattice Token,Cross-Chain Protocols
MAN-USD,Matrix AI Network,Artificial Intelligence
MAX-USD,Maxcoin,Payments
MOB-USD,MobileCoin,Payments
MONA-USD,MonaCoin,Payments
MOTA-USD,MotaCoin,Payments
MRX-USD,Metrix Coin,Payments
MTC6498-USD,Metacoin,Payments
MTRG-USD,Meter Governance,Infrastructure
MTV-USD,MultiVAC,Infrastructure
MWC-USD,MimbleWimbleCoin,Payments
MXC-USD,Moonchain,Payments
MYST-USD,Mysterium,VPN/Network Services
NBS-USD,New BitShares,Infrastructure
NCDT-USD,Nuco.cloud,Cloud Computing
NCT-USD,PolySwarm,Cybersecurity
NEAR-USD,NEAR Protocol,Infrastructure
NEO-USD,Neo,Infrastructure
NEVA-USD,NevaCoin,Payments
NIM-USD,Nimiq,Payments
NKN-USD,NKN,Connectivity/Bandwidth
NMC-USD,Namecoin,Domain Name Systems (DNS)
NPXS-USD,Pundi X (Old),Payments
NRG-USD,Energi,Payments
NULS-USD,NULS,Blockchain Interoperability Protocols
NVT-USD,NerveNetwork,Cross-Chain Bridges
NWC-USD,Numerico,Payments
NYZO-USD,Nyzo,Payments
OCP-USD,OC Protocol,Infrastructure
OLT-USD,OneLedger,Cross-Chain Solutions
OM-USD,MANTRA,Infrastructure
ONE3945-USD,Harmony,Infrastructure
ONG3217-USD,Ontology Gas,Infrastructure
ONT-USD,Ontology,Identity/Data Management
OPAL-USD,Opal,Payments
ORAI-USD,Oraichain,Artificial Intelligence & Oracle Services
ORBS-USD,Orbs,Layer-3 Solutions
ORC-USD,Orbit Chain,Cross-Chain Bridges
OWC-USD,Oduwacoin,Payments
OXT-USD,Orchid,VPN/Privacy
PAC-USD,PAC Protocol,Data Storage
PART-USD,Particl,Privacy Coins
PCX-USD,ChainX,Cross-Chain Bridges
PHA-USD,Phala Network,Privacy
PHB-USD,Phoenix,Data Infrastructure
PHR-USD,Phore,Payments
PIRATE-USD,PirateCash,Privacy Coins
PIVX-USD,PIVX,Payments
PKG-USD,PKG Token,Payments
PNT5794-USD,pNetwork,Cross-Chain Bridges
POLIS-USD,Polis,Payments
POND-USD,Marlin,Networking
POWR-USD,Powerledger,Energy
POX-USD,Pollux Coin,Payments
PPC-USD,Peercoin,Payments
PRE-USD,Presearch,Search Engines
PXC-USD,Phoenixcoin,Payments
PZM-USD,PRIZM,Payments
QKC-USD,QuarkChain,Scalability Solutions
QNT-USD,Quant,Blockchain Operating Systems
QRL-USD,Quantum Resistant Ledger,Payments
QTUM-USD,Qtum,Infrastructure
RBLX-USD,Rublix,Payments
RBTC-USD,Rootstock Smart Bitcoin,Layer 2
RDN-USD,Raiden Network Token,Layer 2 Scaling
REEF-USD,Reef,Cross-Chain Platform
RENDER-USD,Render,Compute
REN-USD,Ren,Cross-Chain Bridges
REV2135-USD,Revain,Reviews/Reputation
RFUEL-USD,RioDeFi,Infrastructure
RING-USD,Darwinia Network,Cross-Chain Bridges
RIO-USD,Realio Network,Tokenization
RLC-USD,iExec RLC,Decentralized Computing
ROSE-USD,Oasis,Infrastructure
RVN-USD,Ravencoin,Asset Tokenization
RVT-USD,Rivetz,Security
SAFE-USD,SafeCoin,Payments
SCC3986-USD,StakeCubeCoin,Masternodes/Staking
SCP-USD,ScPrime,Data Storage
SCRT-USD,Secret,Privacy
SC-USD,Siacoin,Decentralized Storage
SERO-USD,Super Zero Protocol,Infrastructure
SHA-USD,Safe Haven,Digital Inheritance
SKEY-USD,Skey Network,Identity & Access Management
SKL-USD,SKALE,Infrastructure
SMART-USD,SmartCash,Payments
SNB-USD,SynchroBitcoin,Payments
SOL-USD,Solana,Infrastructure
SOP-USD,SoPay,Payments
SOUL-USD,Phantasma,Infrastructure
SPC-USD,SpaceChain,Supply Chain
SRN-USD,SIRIN LABS Token,Platform-Specific Tokens
STAC-USD,StarterCoin,Payments
STAKE-USD,STAKE,Native Token
STORJ-USD,Storj,Decentralized Storage
STX4847-USD,Stacks,Infrastructure
SUTER-USD,suterusu,Privacy
SWFTC-USD,SwftCoin,Payments
SWINGBY-USD,Swingby,Cross-Chain Bridges
SWING-USD,Swing,Payments
SWT-USD,Swarm City,Decentralized Marketplace
SXP-USD,Solar,Infrastructure
SYLO-USD,Sylo,Communication
SYS-USD,Syscoin,Infrastructure
TCC-USD,The ChampCoin,Payments
TEL-USD,Telcoin,Payments
THETA-USD,Theta Network,Media & Entertainment
TLOS-USD,Telos,Infrastructure
TOP-USD,TOP AI Network,AI Infrastructure
TPT-USD,TokenPocket,Wallet
TRV-USD,TrustVerse,Digital Identity/Data Management
TRX-USD,TRON,Infrastructure
TT-USD,ThunderCore,Infrastructure
TXL-USD,Autobahn Network,Cross-Chain Bridges
UBSN-USD,Silent Notary,Verification & Timestamping
UBT-USD,Unibright,Blockchain Integration
UBX-USD,UBIX.Network,Infrastructure
UFR-USD,Upfiring,Decentralized File Sharing
ULT5330-USD,Shardus,Infrastructure
UNIT-USD,Universal Currency,Payments
UTK-USD,xMoney,Payments
VAL7876-USD,SORA Validator Token,Infrastructure
VAL-USD,Validity,Payments
VEIL-USD,Veil,Privacy Coins
VEX-USD,Vexanium,Infrastructure
VIA-USD,Viacoin,Payments
VITE-USD,VITE,Infrastructure
VLT-USD,Veltor,Payments
VLX-USD,Velas,Infrastructure
VSYS-USD,v.systems,Infrastructure
VTC-USD,Vertcoin,Payments
VTHO-USD,VeThor Token,Infrastructure
WAN-USD,Wanchain,Cross-Chain Bridges
WAVES-USD,Waves,Infrastructure
WEST-USD,Waves Enterprise,Enterprise Solutions
XANK-USD,Xank,Payments
XBC-USD,Bitcoin Plus,Payments
XCASH-USD,X-CASH,Privacy Coins
XCP-USD,Counterparty,Infrastructure
XDB-USD,XDB CHAIN,Infrastructure
XDC-USD,XDC Network,Infrastructure
XDNA7262-USD,extraDNA,Payments
XEM-USD,NEM,Payments
XLM-USD,Stellar,Payments
XMR-USD,Monero,Payments
XNO-USD,Nano,Payments
XPC-USD,eXPerience Chain,Infrastructure
XPM-USD,Primecoin,Payments
XPR-USD,XPR Network,Infrastructure
XPTX-USD,PlatinumBAR,Payments
XRP-USD,XRP,Payments
XTZ-USD,Tezos,Infrastructure
XVG-USD,Verge,Payments
XWC-USD,WhiteCoin,Payments
YEC-USD,Ycash,Payments
ZANO-USD,Zano,Payments
ZCL-USD,ZClassic,Payments
ZCR-USD,ZCore (old),Payments
ZEC-USD,Zcash,Payments
ZEN-USD,Horizen,Privacy Coins
ZEON-USD,ZEON,Infrastructure
ZER-USD,Zero,Privacy Coins
ZIL-USD,Zilliqa,Infrastructure
ZNN-USD,Zenon,Infrastructure
ZYN-USD,Zynecoin,Payments
