date,sector,num_tokens,num_edges,avg_correlation,fiedler_eigenvalue
2024-02-29,Centralized Finance (CeFi),52,271,,6.922278861386034e-15
2024-02-29,Infrastructure,335,17957,,-1.0339633146104074e-15
2024-03-31,Centralized Finance (CeFi),52,328,,7.678404521474624e-15
2024-03-31,Infrastructure,335,19589,,-2.8421709430405497e-14
2024-04-30,Centralized Finance (CeFi),52,431,,-3.6902663659050946e-15
2024-05-31,Centralized Finance (CeFi),52,374,,1.1325589094273504e-14
2024-06-30,Centralized Finance (CeFi),52,341,,2.6331206478843464e-15
2024-07-31,Centralized Finance (CeFi),52,414,,1.4531335371103752e-14
2024-07-31,Infrastructure,335,24027,,0.0
2024-08-31,Centralized Finance (CeFi),52,590,,2.065239809268648e-14
2024-08-31,Infrastructure,335,31030,,0.0
2024-09-30,Centralized Finance (CeFi),52,545,,8.605576232294579e-16
2024-09-30,Infrastructure,335,29727,,0.0
2024-10-31,Centralized Finance (CeFi),52,424,0.14576867934160592,1.4039648313959292
2024-10-31,Infrastructure,335,22642,,0.0
2024-11-30,Centralized Finance (CeFi),52,494,0.14839134067067233,2.3968620004865753
2024-11-30,Infrastructure,335,21772,,0.0
2024-12-31,Centralized Finance (CeFi),52,431,0.12953457195240284,1.9152294053833454
2024-12-31,Infrastructure,335,22322,,1.0658141036391404e-14
2025-01-31,Centralized Finance (CeFi),52,379,0.1116597886489507,0.7977249497747345
2025-01-31,Infrastructure,335,23581,0.2176697030362941,3.990019697732134
2025-02-28,Centralized Finance (CeFi),52,328,0.09930342141215641,2.3828438985985017
2025-02-28,Infrastructure,335,21726,0.19537313198160414,9.422808262975359
2025-03-31,Centralized Finance (CeFi),52,277,0.08057994407056772,0.8463716425541673
2025-03-31,Infrastructure,335,22457,0.19679793776805454,9.770095319650327
2025-04-30,Centralized Finance (CeFi),52,275,,3.666651963337675e-16
2025-04-30,Infrastructure,335,20814,,-6.144768183159812e-14
2025-05-31,Centralized Finance (CeFi),52,275,,8.186910558670132e-16
2025-05-31,Infrastructure,335,19255,,-9.258873386615407e-14
2025-06-30,Centralized Finance (CeFi),52,241,,-1.9436644082784448e-16
2025-06-30,Infrastructure,335,17697,,-7.610999274800939e-14
2025-07-31,Centralized Finance (CeFi),52,224,,-1.736862797458111e-15
2025-07-31,Infrastructure,335,14045,,-4.734035321519599e-14
2025-08-31,Centralized Finance (CeFi),52,281,,-8.98610297950707e-16
2025-08-31,Infrastructure,335,15066,,-5.978090708216575e-14
2025-09-30,Centralized Finance (CeFi),52,249,,2.6828478757769315e-15
2025-09-30,Infrastructure,335,18722,,-9.331998141069438e-14
2025-10-31,Centralized Finance (CeFi),52,328,0.075590965955508,1.5897140719403593
2025-10-31,Infrastructure,335,22169,,10.581811453961992
